year,state,od550aer,co2,co2_ppm,co2_source,tas,tas_c,tas_anomaly,rsdt,tas_c_baseline_1950_1980
1950,Alabama,0.18473206,0.00031719758,317.19757,state_grid_mean,287.5757,14.42572,-0.83301544,355.3757,15.258736
1951,Alabama,0.19743934,0.0003170279,317.02792,state_grid_mean,288.63623,15.486237,0.22750092,355.27496,15.258736
1952,Alabama,0.17012598,0.00031663926,316.63925,state_grid_mean,288.06082,14.910828,-0.34790802,355.2813,15.258736
1953,Alabama,0.17996772,0.0003177858,317.7858,state_grid_mean,288.0523,14.902313,-0.35642242,355.2529,15.258736
1954,Alabama,0.17172608,0.00031691443,316.91443,state_grid_mean,288.00293,14.852936,-0.40579987,355.25394,15.258736
1955,Alabama,0.19223768,0.0003221881,322.1881,state_grid_mean,288.67212,15.522125,0.2633896,355.30746,15.258736
1956,Alabama,0.1892129,0.00032213365,322.13367,state_grid_mean,290.17688,17.026886,1.7681503,355.43506,15.258736
1957,Alabama,0.1903914,0.00031993832,319.93832,state_grid_mean,289.19427,16.044281,0.78554535,355.532,15.258736
1958,Alabama,0.18523648,0.0003171013,317.10132,state_grid_mean,288.12024,14.970245,-0.2884903,355.56293,15.258736
1959,Alabama,0.19694509,0.0003200053,320.00528,state_grid_mean,288.46924,15.319244,0.060508728,355.50146,15.258736
1960,Alabama,0.18883885,0.0003178524,317.8524,state_grid_mean,287.55667,14.406677,-0.8520584,355.4523,15.258736
1961,Alabama,0.2162442,0.0003194849,319.48492,state_grid_mean,287.9654,14.815399,-0.4433365,355.35107,15.258736
1962,Alabama,0.21905044,0.00031970497,319.70496,state_grid_mean,288.4925,15.342499,0.08376312,355.28918,15.258736
1963,Alabama,0.22494613,0.00032038608,320.38608,state_grid_mean,288.27747,15.127472,-0.13126373,355.26138,15.258736
1964,Alabama,0.22527845,0.00032024275,320.24274,state_grid_mean,287.83322,14.683228,-0.5755081,355.25208,15.258736
1965,Alabama,0.2168247,0.00032397077,323.97076,state_grid_mean,288.02948,14.879486,-0.37924957,355.2597,15.258736
1966,Alabama,0.23389755,0.00032492078,324.92078,state_grid_mean,288.55603,15.406036,0.14730072,355.31073,15.258736
1967,Alabama,0.23439479,0.00032429388,324.29388,state_grid_mean,288.4437,15.293701,0.034965515,355.37854,15.258736
1968,Alabama,0.2219831,0.00032371393,323.71393,state_grid_mean,287.7743,14.624298,-0.63443756,355.40802,15.258736
1969,Alabama,0.2257872,0.0003252754,325.27542,state_grid_mean,287.73123,14.581238,-0.67749786,355.41647,15.258736
1970,Alabama,0.24814303,0.0003280562,328.05618,state_grid_mean,288.70508,15.555084,0.29634857,355.42014,15.258736
1971,Alabama,0.2172437,0.00032939098,329.391,state_grid_mean,288.47296,15.322968,0.06423187,355.36182,15.258736
1972,Alabama,0.23099408,0.00032795494,327.95496,state_grid_mean,288.26608,15.116089,-0.14264679,355.35956,15.258736
