state,intercept,beta_co2,beta_od550aer,beta_rsdt,r2,n_years,model_start_year,model_end_year,rolling_window,target
Alabama,-347.162280888143,0.004427812772987299,-1.5209340575200043,0.9737104315712485,0.1946822683018864,65,1950,2014,5,tas_anomaly_smooth
Alaska,202.67557719453617,0.028966628529099543,-26.694527737474665,-0.9639797620352463,0.6231958687307375,65,1950,2014,5,tas_anomaly_smooth
Arizona,-58.8899077797947,0.010816476425296343,27.79509107002884,0.14992404376253676,0.5440582018651894,65,1950,2014,5,tas_anomaly_smooth
Arkansas,-491.2168970420325,0.0023497854367938095,-7.673272054545885,1.4165804875739243,0.27485580284557587,65,1950,2014,5,tas_anomaly_smooth
California,189.4614347506343,0.014354462167619386,-36.31610378005071,-0.5651340794965983,0.3383101881218691,65,1950,2014,5,tas_anomaly_smooth
Colorado,360.63161802283685,0.014079380615721341,-31.761880490024275,-1.0916001234454402,0.6751540577272628,65,1950,2014,5,tas_anomaly_smooth
Connecticut,517.0754577452193,0.0010612380115598,-7.466055269456263,-1.603561438165668,0.45578995118988974,65,1950,2014,5,tas_anomaly_smooth
Delaware,357.14742942060553,0.0037847348201099588,-4.790003556937789,-1.076037991673301,0.43361998972841365,65,1950,2014,5,tas_anomaly_smooth
Florida,-54.83813334287038,0.007869890549592444,0.8189440896275076,0.1413473522963242,0.5511599013980444,65,1950,2014,5,tas_anomaly_smooth
Georgia,-19.74330714442685,0.005003177867196584,-1.199072212992461,0.05153971429300042,0.24465870328591688,65,1950,2014,5,tas_anomaly_smooth
Hawaii,248.8757620888219,0.018845672640954346,-28.818769195935857,-0.6438981943363175,0.5864027538876564,65,1950,2014,5,tas_anomaly_smooth
Idaho,-87.20090327472212,0.021698889257061454,-57.5078350203177,0.2727179955414766,0.6276559244673587,65,1950,2014,5,tas_anomaly_smooth
Illinois,-303.1741920108415,0.005807747918603711,-6.15132104560063,0.9215028217821052,0.42282640953727046,65,1950,2014,5,tas_anomaly_smooth
Indiana,-143.7349742471545,0.00495826939246242,-5.865525871218438,0.4380336113372318,0.4405839790040671,65,1950,2014,5,tas_anomaly_smooth
Iowa,-577.6846981633465,0.009469908355411666,-9.928388659249595,1.815121184926334,0.5032954800152314,65,1950,2014,5,tas_anomaly_smooth
Kansas,28.278182870700814,0.009699181525639618,-18.680914348406045,-0.08458890226888056,0.5950059326623782,65,1950,2014,5,tas_anomaly_smooth
Kentucky,-129.57786279808067,0.0034899692149933147,-4.133447081601552,0.38368883178736574,0.30988016611518243,65,1950,2014,5,tas_anomaly_smooth
Louisiana,-650.9589275612988,0.0020096690265950542,-6.186828388150161,1.8036416116372544,0.19371604170022816,65,1950,2014,5,tas_anomaly_smooth
Maine,584.3551237637604,0.001720154069426952,-14.447417492501016,-1.9061980751079286,0.43721984679804904,65,1950,2014,5,tas_anomaly_smooth
Maryland,213.9433711032607,0.0033757644319003764,-4.546188840028674,-0.6459057203377478,0.36470891276019113,65,1950,2014,5,tas_anomaly_smooth
Massachusetts,517.9151351983634,0.0011204389456345978,-7.67834257909632,-1.6279149073534174,0.3965860788924005,65,1950,2014,5,tas_anomaly_smooth
Michigan,-330.1016423777491,0.008426311432372283,-10.238695272555296,1.0673512411944566,0.6584813384208472,65,1950,2014,5,tas_anomaly_smooth
Minnesota,-683.8209625197978,0.015287536182466473,-17.04623421560899,2.2805964464587105,0.6372682782214618,65,1950,2014,5,tas_anomaly_smooth
Mississippi,-618.8524854710514,0.0029179635025825368,-3.86278042780508,1.7357449468089645,0.1803859356568268,65,1950,2014,5,tas_anomaly_smooth
Missouri,-423.02388792125527,0.0056496715752759625,-10.140149567314484,1.270872640934906,0.49409073973988327,65,1950,2014,5,tas_anomaly_smooth
Montana,-404.6151561638182,0.02200087047699007,-46.040636750253874,1.35133565746414,0.6696367012373801,65,1950,2014,5,tas_anomaly_smooth
